- 0.406067 1 0 ack 40 ------- 0 1.0 0.0 27 74
- 0.408 0 1 tcp 1040 ------- 0 0.0 1.0 29 44
r 0.411333 1 0 ack 40 ------- 0 1.0 0.0 27 74
+ 0.411333 0 1 tcp 1040 ------- 0 0.0 1.0 47 75
r 0.413 0 1 tcp 1040 ------- 0 0.0 1.0 28 42
+ 0.413 1 0 ack 40 ------- 0 1.0 0.0 28 76
- 0.413 1 0 ack 40 ------- 0 1.0 0.0 28 76
- 0.414933 0 1 tcp 1040 ------- 0 0.0 1.0 30 45
r 0.418267 1 0 ack 40 ------- 0 1.0 0.0 28 76
+ 0.418267 0 1 tcp 1040 ------- 0 0.0 1.0 48 77
r 0.419933 0 1 tcp 1040 ------- 0 0.0 1.0 29 44
+ 0.419933 1 0 ack 40 ------- 0 1.0 0.0 29 78
- 0.419933 1 0 ack 40 ------- 0 1.0 0.0 29 78
- 0.421867 0 1 tcp 1040 ------- 0 0.0 1.0 31 47
r 0.4252 1 0 ack 40 ------- 0 1.0 0.0 29 78
+ 0.4252 0 1 tcp 1040 ------- 0 0.0 1.0 49 79
r 0.426867 0 1 tcp 1040 ------- 0 0.0 1.0 30 45
+ 0.426867 1 0 ack 40 ------- 0 1.0 0.0 30 80
- 0.426867 1 0 ack 40 ------- 0 1.0 0.0 30 80
- 0.4288 0 1 tcp 1040 ------- 0 0.0 1.0 32 48
r 0.432133 1 0 ack 40 ------- 0 1.0 0.0 30 80
+ 0.432133 0 1 tcp 1040 ------- 0 0.0 1.0 50 81
r 0.4338 0 1 tcp 1040 ------- 0 0.0 1.0 31 47
+ 0.4338 1 0 ack 40 ------- 0 1.0 0.0 31 82
- 0.4338 1 0 ack 40 ------- 0 1.0 0.0 31 82
- 0.435733 0 1 tcp 1040 ------- 0 0.0 1.0 33 50
r 0.439067 1 0 ack 40 ------- 0 1.0 0.0 31 82
+ 0.439067 0 1 tcp 1040 ------- 0 0.0 1.0 51 83
r 0.440733 0 1 tcp 1040 ------- 0 0.0 1.0 32 48
+ 0.440733 1 0 ack 40 ------- 0 1.0 0.0 32 84
- 0.440733 1 0 ack 40 ------- 0 1.0 0.0 32 84
- 0.442667 0 1 tcp 1040 ------- 0 0.0 1.0 34 51
r 0.446 1 0 ack 40 ------- 0 1.0 0.0 32 84
+ 0.446 0 1 tcp 1040 ------- 0 0.0 1.0 52 85
r 0.447667 0 1 tcp 1040 ------- 0 0.0 1.0 33 50
+ 0.447667 1 0 ack 40 ------- 0 1.0 0.0 33 86
- 0.447667 1 0 ack 40 ------- 0 1.0 0.0 33 86
- 0.4496 0 1 tcp 1040 ------- 0 0.0 1.0 35 53
r 0.452933 1 0 ack 40 ------- 0 1.0 0.0 33 86
